location,price,size,price_per_sqm,geo code ,scraped_at,page_number,page_url,price_numeric,,,,,,,price_per_rai
Watthana ,"405,000,000",269,"1,505,576",,2025-07-30 13:19:41,6,https://www.thailand-property.com/land-for-sale/bangkok?page=7,,,,,,,,
Phra Khanong ,"990,000,000","2,772","357,143",,2025-07-30 13:25:08,12,https://www.thailand-property.com/land-for-sale/bangkok?page=13,,,,,,,,
Watthana ,"249,000,000","1,076","231,413",,2025-07-30 14:50:04,18,https://www.thailand-property.com/land-for-sale/bangkok?page=19,,,,,,,,
Prawet ,"306,000,000","2,040","150,000",,2025-07-30 13:18:09,5,https://www.thailand-property.com/land-for-sale/bangkok?page=6,,,,,,,,
Phra Khanong ,"32,000,000",220,"145,455",,2025-07-30 14:49:32,17,https://www.thailand-property.com/land-for-sale/bangkok?page=18,,,,,,,,
Huai Khwang ,"560,000,000","4,020","139,303",,2025-07-30 13:22:15,9,https://www.thailand-property.com/land-for-sale/bangkok?page=10,,,,,,,,
Wang Thonglang ,"440,000,000","3,200","137,500",,2025-07-30 13:23:17,10,https://www.thailand-property.com/land-for-sale/bangkok?page=11,,,,,,,,
Watthana ,"140,000,000","1,064","131,579",,2025-07-30 14:47:26,15,https://www.thailand-property.com/land-for-sale/bangkok?page=16,,,,,,,,
Phra Khanong ,"120,000,000","1,144","104,895",,2025-07-30 13:19:25,6,https://www.thailand-property.com/land-for-sale/bangkok?page=7,,,,,,,,
Bang Khae ,"90,000,000",900,"100,000",,2025-07-30 13:15:41,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Watthana ,"19,800,000",232,"85,345",,2025-07-30 14:49:44,17,https://www.thailand-property.com/land-for-sale/bangkok?page=18,,,,,,,,
Watthana ,"85,120,000","1,064","80,000",,2025-07-30 14:50:06,18,https://www.thailand-property.com/land-for-sale/bangkok?page=19,,,,,,,,
Chatuchak ,"31,000,000",392,"79,082",,2025-07-30 13:22:17,9,https://www.thailand-property.com/land-for-sale/bangkok?page=10,,,,,,,,
Bang Kapi ,"176,080,000","2,272","77,500",,2025-07-30 13:19:27,6,https://www.thailand-property.com/land-for-sale/bangkok?page=7,,,,,,,,
Chatuchak ,"32,500,000",432,"75,231",,2025-07-30 13:17:07,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Huai Khwang ,"398,400,000","5,312","75,000",,2025-07-30 13:23:07,10,https://www.thailand-property.com/land-for-sale/bangkok?page=11,,,,,,,,
Khan Na Yao ,"448,000,000","6,000","74,667",,2025-07-30 13:19:43,6,https://www.thailand-property.com/land-for-sale/bangkok?page=7,,,,,,,,
Prawet ,"235,000,000","3,200","73,438",,2025-07-30 13:19:18,6,https://www.thailand-property.com/land-for-sale/bangkok?page=7,,,,,,,,
Phaya Thai ,"89,000,000","1,224","72,712",,2025-07-30 13:15:09,2,https://www.thailand-property.com/land-for-sale/bangkok?page=3,,,,,,,,
Bang Khun Thian ,"2,900,000",40,"72,500",,2025-07-30 14:47:30,15,https://www.thailand-property.com/land-for-sale/bangkok?page=16,,,,,,,,
Thon Buri ,"28,560,000",408,"70,000",,2025-07-30 13:25:10,12,https://www.thailand-property.com/land-for-sale/bangkok?page=13,,,,,,,,
Bang Kapi ,"150,000,000","2,252","66,607",,2025-07-30 14:47:09,15,https://www.thailand-property.com/land-for-sale/bangkok?page=16,,,,,,,,
Phra Khanong ,"20,000,000",304,"65,789",,2025-07-30 13:19:34,6,https://www.thailand-property.com/land-for-sale/bangkok?page=7,,,,,,,,
Bang Na ,"208,000,000","3,200","65,000",,2025-07-30 13:35:45,13,https://www.thailand-property.com/land-for-sale/bangkok?page=14,,,,,,,,
Bang Na ,"208,000,000","3,200","65,000",,2025-07-30 14:48:39,16,https://www.thailand-property.com/land-for-sale/bangkok?page=17,,,,,,,,
Huai Khwang ,"28,250,000",452,"62,500",,2025-07-30 13:23:33,10,https://www.thailand-property.com/land-for-sale/bangkok?page=11,,,,,,,,
