District,Property Count,Avg Price (THB),Median Price (THB),Min Price (THB),Max Price (THB),Avg Size (sqm),Avg Size (sq wah),Avg Price per SQM,Avg Price per SQ WAH
Lat Phrao,41,31327485.37,9900000.00,2500000.00,238000000.00,1159.38,289.85,25440.47,101761.88
Watthana,33,271745515.15,140000000.00,19800000.00,1600000000.00,701.64,175.41,331484.05,1325936.19
Sai Mai,31,19120177.42,12000000.00,1250000.00,108000000.00,1243.95,310.99,13763.64,55054.55
Bang Khen,28,23042321.43,10872500.00,3200000.00,88000000.00,1110.11,277.53,21531.05,86124.19
Prawet,28,98036892.86,17500000.00,2420000.00,306000000.00,2514.06,628.51,40922.37,163689.47
Khlong Sam Wa,26,60430505.77,14990000.00,2560000.00,643918000.00,5214.50,1303.62,12258.13,49032.52
Phra Khanong,23,183673043.48,33000000.00,4400000.00,1660000000.00,2689.88,672.47,76368.95,305475.82
Bang Khae,21,19910552.38,10300000.00,2088000.00,90000000.00,1833.43,458.36,30530.07,122120.26
Suan Luang,20,234689900.00,94300000.00,7000000.00,1800000000.00,5036.57,1259.14,55774.17,223096.67
Thawi Watthana,19,52749600.00,6800000.00,999900.00,768000000.00,4263.47,1065.87,12853.55,51414.20
Bang Na,19,237191242.11,50000000.00,6500000.00,1132000000.00,8294.25,2073.56,82482.01,329928.04
Bang Khun Thian,19,42349578.95,20829000.00,2000000.00,150000000.00,2459.67,614.92,18365.87,73463.47
Taling Chan,18,50945444.44,15250000.00,3320000.00,400000000.00,3187.50,796.88,38674.76,154699.06
Chatuchak,18,105136666.67,31750000.00,10560000.00,1131000000.00,1201.78,300.44,40711.68,162846.73
Huai Khwang,17,218427336.59,60000000.00,7000000.00,788920000.00,2092.90,523.23,93749.62,374998.48
Nong Chok,16,23171109.38,3845000.00,999000.00,139952500.00,12949.82,3237.45,2048.39,8193.56
Wang Thonglang,15,47457733.33,12000000.00,3708000.00,440000000.00,538.29,134.57,31452385.91,125809543.64
Min Buri,14,59113214.29,9075000.00,1300000.00,519000000.00,9568.50,2392.12,10442.87,41771.49
Din Daeng,14,82794285.71,21000000.00,5000000.00,330000000.00,903.00,225.75,72671.39,290685.58
Lat Krabang,13,60517188.46,6300000.00,1350000.00,359643750.00,3335.00,833.75,414146.50,1656585.98
Bueng Kum,13,126417307.69,24200000.00,4650000.00,634500000.00,5219.56,1304.89,20986.72,83946.87
Don Mueang,13,41879053.85,26610200.00,2900000.00,160000000.00,1801.14,450.29,22078.66,88314.63
Saphan Sung,12,70503333.33,31000000.00,4700000.00,384000000.00,150570.00,37642.50,73173.58,292694.31
Bang Kapi,11,79588636.36,41600000.00,11505000.00,260000000.00,1255.33,313.83,49385.76,197543.02
Phasi Charoen,11,55324454.55,21900000.00,5614500.00,316000000.00,3087.00,771.75,22899.68,91598.72
Khlong Toei,9,251496888.89,175000000.00,80000000.00,570000000.00,830.40,207.60,246715.94,986863.75
Khan Na Yao,8,163993449.88,91876300.00,1999999.00,448000000.00,9840.80,2460.20,26726.97,106907.89
Lak Si,8,24508634.00,6000000.00,969072.00,150000000.00,462.67,115.67,13593.21,54372.85
Nong Khaem,8,56953750.00,15540000.00,1350000.00,270000000.00,13978.00,3494.50,7976.17,31904.68
Bang Phlat,8,96954500.00,83940000.00,10816000.00,180000000.00,4220.80,1055.20,24115.55,96462.20
Phaya Thai,7,98599857.14,54900000.00,10999000.00,357900000.00,1804.00,451.00,111419.13,445676.51
Sathon,5,109240000.00,105000000.00,63000000.00,165000000.00,1253.00,313.25,151261.85,605047.42
Bang Bon,5,15697000.00,15000000.00,1000000.00,40000000.00,999.00,249.75,11254.19,45016.76
Bang Sue,4,500350000.00,91750000.00,17900000.00,1800000000.00,1149.33,287.33,45163.17,180652.69
Thon Buri,4,25140000.00,25030000.00,7500000.00,43000000.00,437.33,109.33,51361.30,205445.18
Thung Khru,3,22791600.00,17974800.00,2000000.00,48400000.00,8420.00,2105.00,5748.22,22992.87
Yan Nawa,3,186620000.00,230000000.00,79860000.00,250000000.00,1452.00,363.00,55000.00,220000.00
Phra Nakhon,2,4245000.00,4245000.00,3090000.00,5400000.00,,,,
Dusit,2,113950000.00,113950000.00,113950000.00,113950000.00,,,,
Chom Thong,2,43850000.00,43850000.00,11500000.00,76200000.00,1506.00,376.50,28864.25,115456.99
Bangkok Yai,2,77400000.00,77400000.00,22000000.00,132800000.00,2656.00,664.00,50000.00,200000.00
Pom Prap Sattru Phai,1,165000000.00,165000000.00,165000000.00,165000000.00,1276.00,319.00,129310.34,517241.38
Rat Burana,1,12500000.00,12500000.00,12500000.00,12500000.00,,,,
Pathum Wan,1,702600000.00,702600000.00,702600000.00,702600000.00,,,,
Bangkok Noi,1,420860000.00,420860000.00,420860000.00,420860000.00,,,,
Bang Rak,1,3000000000.00,3000000000.00,3000000000.00,3000000000.00,6304.00,1576.00,475888.32,1903553.30
Bang Kho Laem,1,85000000.00,85000000.00,85000000.00,85000000.00,,,,
