location,price,size,price_per_sqm,,,,,,,,,,,,price_per_rai
Yan Nawa,"79,860,000","1,452","55,000",,,,,,,,,,,,
Watthana,"405,000,000",269,"1,505,576",,,,,,,,,,,,
Watthana,"249,000,000","1,076","231,413",,,,,,,,,,,,
Watthana,"140,000,000","1,064","131,579",,,,,,,,,,,,
Watthana,"19,800,000",232,"85,345",,,,,,,,,,,,
Watthana,"85,120,000","1,064","80,000",,,,,,,,,,,,
Watthana,"29,000,000",680,"42,647",,,,,,,,,,,,
Wang Thonglang,"440,000,000","3,200","137,500",,,,,,,,,,,,
Wang Thonglang,"5,300,000",132,"40,152",,,,,,,,,,,,
Wang Thonglang,"14,000,000",450,"31,111",,,,,,,,,,,,
Wang Thonglang,"8,250,000",292,"28,253",,,,,,,,,,,,
Wang Thonglang,"38,500,000","2,076","18,545",,,,,,,,,,,,
Thon Buri,"28,560,000",408,"70,000",,,,,,,,,,,,
Thon Buri,"7,500,000",604,"12,417",,,,,,,,,,,,
Thawi Watthana,"14,500,000",248,"58,468",,,,,,,,,,,,
Thawi Watthana,"60,000,000","2,688","22,321",,,,,,,,,,,,
Thawi Watthana,"768,000,000","51,200","15,000",,,,,,,,,,,,
Thawi Watthana,"2,580,000",212,"12,170",,,,,,,,,,,,
Thawi Watthana,"6,800,000",680,"10,000",,,,,,,,,,,,
Thawi Watthana,"6,800,000",680,"10,000",,,,,,,,,,,,
Thawi Watthana,"16,485,000","1,884","8,750",,,,,,,,,,,,
Thawi Watthana,"1,100,000",200,"5,500",,,,,,,,,,,,
Thawi Watthana,"2,047,500",468,"4,375",,,,,,,,,,,,
Thawi Watthana,"4,080,000","1,088","3,750",,,,,,,,,,,,
Thawi Watthana,"999,900",296,"3,378",,,,,,,,,,,,
Thawi Watthana,"1,750,000",832,"2,103",,,,,,,,,,,,
Taling Chan,"400,000,000","6,612","60,496",,,,,,,,,,,,
Taling Chan,"12,360,000",480,"25,750",,,,,,,,,,,,
Taling Chan,"3,320,000",196,"16,939",,,,,,,,,,,,
Taling Chan,"10,690,000","1,092","9,789",,,,,,,,,,,,
Taling Chan,"4,400,000",568,"7,746",,,,,,,,,,,,
Taling Chan,"5,122,000",788,"6,500",,,,,,,,,,,,
Taling Chan,"38,125,000","6,100","6,250",,,,,,,,,,,,
Suan Luang,"40,000,000",800,"50,000",,,,,,,,,,,,
Suan Luang,"520,000,000","11,200","46,429",,,,,,,,,,,,
Suan Luang,"54,180,000","1,204","45,000",,,,,,,,,,,,
Suan Luang,"54,180,000","1,204","45,000",,,,,,,,,,,,
Saphan Sung,"22,000,000","1,600","13,750",,,,,,,,,,,,
Sai Mai,"6,700,000",183,"36,612",,,,,,,,,,,,
Sai Mai,"5,500,000",196,"28,061",,,,,,,,,,,,
Sai Mai,"37,685,000","1,600","23,553",,,,,,,,,,,,
Sai Mai,"33,475,000","1,924","17,399",,,,,,,,,,,,
Sai Mai,"2,850,000",204,"13,971",,,,,,,,,,,,
Sai Mai,"2,850,000",204,"13,971",,,,,,,,,,,,
Sai Mai,"3,800,000",344,"11,047",,,,,,,,,,,,
Sai Mai,"3,725,000",400,"9,313",,,,,,,,,,,,
Sai Mai,"4,000,000",440,"9,091",,,,,,,,,,,,
Sai Mai,"1,250,000",140,"8,929",,,,,,,,,,,,
Sai Mai,"26,000,000","3,200","8,125",,,,,,,,,,,,
Sai Mai,"4,128,000",516,"8,000",,,,,,,,,,,,
Sai Mai,"12,000,000","1,600","7,500",,,,,,,,,,,,
Sai Mai,"5,500,000","1,000","5,500",,,,,,,,,,,,
Sai Mai,"11,500,000","2,282","5,039",,,,,,,,,,,,
Prawet,"306,000,000","2,040","150,000",,,,,,,,,,,,
Prawet,"235,000,000","3,200","73,438",,,,,,,,,,,,
Prawet,"299,340,000","12,800","23,386",,,,,,,,,,,,
Prawet,"5,800,000",400,"14,500",,,,,,,,,,,,
Prawet,"5,800,000",400,"14,500",,,,,,,,,,,,
Prawet,"2,420,000",200,"12,100",,,,,,,,,,,,
Prawet,"2,420,000",200,"12,100",,,,,,,,,,,,
Prawet,"3,900,000",400,"9,750",,,,,,,,,,,,
Phra Khanong,"990,000,000","2,772","357,143",,,,,,,,,,,,
Phra Khanong,"32,000,000",220,"145,455",,,,,,,,,,,,
Phra Khanong,"120,000,000","1,144","104,895",,,,,,,,,,,,
Phra Khanong,"20,000,000",304,"65,789",,,,,,,,,,,,
Phra Khanong,"37,500,000",732,"51,230",,,,,,,,,,,,
Phra Khanong,"17,550,000",388,"45,232",,,,,,,,,,,,
Phra Khanong,"23,400,000",576,"40,625",,,,,,,,,,,,
Phra Khanong,"23,000,000",568,"40,493",,,,,,,,,,,,
Phra Khanong,"23,000,000",568,"40,493",,,,,,,,,,,,
Phra Khanong,"440,500,000","12,660","34,795",,,,,,,,,,,,
